ONSET TIME, AVG PITCH IN HZ, DURATION
0.000, nan, 1.645
1.665, nan, 0.101
1.806, 97.399, 0.221
2.047, 96.899, 0.040
2.127, 95.689, 0.281
2.428, 88.711, 0.341
2.809, 102.444, 0.221
3.050, 86.382, 0.421
