1.314404	1.440663	and
1.440663	1.618720	I
1.770878	1.934367	re-
1.934367	2.091381	-me-
2.091381	2.144798	-m-
2.144798	2.309905	-ber
2.309905	2.520337	when
2.520337	2.711343	you
2.746955	2.912062	ca-
2.912062	2.988141	-me
2.988141	3.224452	out
3.498013	3.669595	an-
3.669595	3.748911	-d
3.795854	4.046752	tol-
4.046752	4.071033	-d
4.071033	4.166536	the
4.166536	4.287939	worl-
4.287939	4.347831	-d
4.347831	4.459521	that
4.459521	4.600348	you
4.600348	4.681283	ha-
4.681283	4.744412	-d
4.796211	4.937038	par-
4.937038	5.039016	-kin-
5.039016	5.228404	-son-
5.228404	5.326335	-'s
