0.000, 222.205, 1.184, I
1.224, 290.281, 0.181, CANT
1.425, 252.108, 0.240, ACTUALLY
1.685, 247.568, 0.281, CONTROL
2.007, 222.324, 0.100, MY
2.147, 218.744, 0.120, OWN
2.308, 193.498, 0.421, SLIDES
2.809, 196.818, 0.281, BECAUSE
3.170, 200.103, 0.101, MY
3.291, 206.293, 0.180, HANDS
3.531, 190.880, 0.061, ARE
3.632, 180.291, 0.261, SHAKING
3.933, 179.227, 0.140, TOO
4.113, 173.868, 0.161, MUCH
4.294, 198.736, 0.120, SO
4.434, 221.792, 0.261, SOMEONES
4.715, 199.923, 0.402, CONTROLLING
5.137, 183.302, 0.120, THEM
5.277, 193.688, 0.181, FOR
5.498, 168.197, 0.140, ME
