1.006752	1.148952	I
1.148952	1.260795	ju-
1.260795	1.318294	-s-
1.318294	1.377410	-t
1.377410	1.507734	thought
1.507734	1.561476	it
1.561476	1.675677	wa-
1.675677	1.751985	-s
1.751985	1.800352	ju-
1.800352	1.898431	-s-
1.898431	2.019350	-t
2.061000	2.347176	u-
2.347176	2.481530	-m
3.165395	3.219137	a
3.219137	3.306468	di-
3.306468	3.513374	-sea-
3.513374	3.610109	-se
3.610109	3.688035	that
3.688035	3.779396	ma-
3.779396	3.839856	-de
3.839856	3.937935	you
3.937935	4.140810	sha-
4.140810	4.275165	-ke
