ONSET TIME, AVG PITCH IN HZ, DURATION
0.000, 204.014, 2.087
2.167, nan, 0.281
2.548, 108.528, 0.081
2.709, 121.354, 0.080
2.829, 120.422, 0.081
2.950, 129.609, 0.762
