1.183129	1.693200	an-
1.693200	1.928784	-d
2.738388	2.846454	ju-
2.846454	2.885357	-s-
2.885357	2.978294	-t
2.978294	3.131207	un-
3.131207	3.275107	-der
3.324012	3.511991	four
3.511991	3.626612	ye-
3.626612	3.721365	-ar-
3.721365	3.816119	-s
3.816119	3.887948	a-
3.887948	4.134001	-go
4.134001	4.249214	at
4.249214	4.358450	the
4.358450	4.519091	a-
4.519091	4.600054	-ge
4.600054	4.704149	o-
4.704149	4.747843	-f
4.747843	4.929046	twen-
4.929046	5.058257	-ty
5.058257	5.513192	nine
5.532469	5.608292	I
5.609577	5.664837	wa-
5.664837	5.767647	-s
5.767647	5.942424	di-
5.942424	6.023387	-a-
6.023387	6.046520	-g-
6.047805	6.193024	-no-
6.193024	6.291979	-se-
6.291979	6.324107	-d
6.324107	6.354950	wi-
6.354950	6.433343	-th
6.433343	6.617116	par-
6.617116	6.732777	-kin-
6.732777	6.874141	-son-
6.874141	6.962815	-'s
6.989802	7.082332	di-
7.082332	7.345782	-sea-
7.345782	7.587386	-se
