ONSET TIME, AVG PITCH IN HZ, DURATION
0.000, 113.678, 1.444
1.484, 289.710, 0.261
1.805, 140.108, 0.241
2.166, 124.163, 0.160
2.547, 112.571, 0.020
2.587, 112.467, 0.140
2.768, 111.391, 0.180
2.988, 117.804, 0.481
3.610, 113.743, 0.381
4.051, 109.993, 1.685
5.776, 108.784, 0.441
