ONSET TIME, AVG PITCH IN HZ, DURATION
0.000, 145.962, 1.223
1.243, 270.589, 0.120
1.644, 262.995, 0.221
1.885, 263.382, 0.300
2.205, 235.641, 0.141
2.426, 211.359, 0.120
2.566, 229.078, 0.141
2.767, 412.486, 0.160
2.967, 386.949, 0.501
