0.000, 224.933, 1.204, I
1.224, 309.854, 0.181, CANT
1.425, 264.705, 0.220, ACTUALLY
1.665, 247.749, 0.301, CONTROL
2.007, 222.575, 0.080, MY
2.147, 216.221, 0.120, OWN
2.308, 168.915, 0.421, SLIDES
2.809, 198.824, 0.281, BECAUSE
3.170, 200.126, 0.101, MY
3.291, 206.804, 0.180, HANDS
3.531, nan, 0.061, ARE
3.612, 178.633, 0.281, SHAKING
3.933, 351.251, 0.140, TOO
4.113, 346.228, 0.161, MUCH
4.294, nan, 0.100, SO
4.414, 222.592, 0.261, SOMEONES
4.715, 199.122, 0.382, CONTROLLING
5.137, 181.400, 0.100, THEM
5.277, 193.210, 0.181, FOR
5.498, 167.126, 0.120, ME
