1.848908	2.004636	I  
2.004636	2.168857	Kin-
2.168857	2.228317	-d
2.228317	2.335910	o-
2.335910	2.709656	-f
3.516606	3.672334	knew
3.672334	3.918666	so-
3.918666	3.996187	-me-
3.996220	4.164543	-thing
4.164543	4.304279	wa-
4.304279	4.498733	-s
4.899155	5.231504	wrong
5.231504	5.451736	but
5.613907	5.782084	coul-
5.782084	5.830134	-d
5.830134	6.108427	not
6.186509	6.296625	pu-
6.296625	6.336667	-t
6.336667	6.440777	my
6.440777	6.624970	fin-
6.624970	6.833190	-ger
6.889249	7.033400	on
7.033400	7.283664	i-
7.283664	7.451840	-t
