1.043474	1.205498	I
1.205498	1.338153	can't
1.338153	1.394645	a-
1.394645	1.471075	-c-
1.471075	1.547505	-tual-
1.547505	1.630581	-ly
1.630581	1.743565	con-
1.743565	1.946271	-trol
1.946271	2.066936	my
2.066936	2.233089	own
2.233089	2.525517	sli-
2.525517	2.685023	-de-
2.685023	2.761453	-s
2.761453	2.849514	be-
2.849514	3.002374	-cau-
3.002374	3.110374	-se
3.110374	3.215050	my
3.215050	3.414432	han-
3.414432	3.464278	-d-
3.464278	3.477570	-s
3.477570	3.530739	are
3.530739	3.773322	sha-
3.773322	3.894613	-king
3.894613	4.035843	too
4.035843	4.190364	mu-
4.190364	4.268456	-ch
4.268456	4.351532	so
4.351532	4.432947	so-
4.432947	4.525992	-me-
4.525992	4.609068	-one-
4.609068	4.653930	-'s
4.677191	4.761929	con-
4.761929	4.918112	-trol-
4.918112	5.069311	-ling
5.069311	5.160695	the-
5.160695	5.235463	-m
5.235463	5.411585	for
5.411585	5.722290	me
